00:00:16.67,+00:05:22.5
00:15:13.51,-00:32:59.1
00:17:55.84,+00:50:47.5
00:20:54.03,+00:13:31.0
00:21:42.95,-00:06:07.2
00:24:03.57,-00:04:21.8
00:37:53.85,-00:51:52.3
00:41:29.50,+00:08:01.0
00:47:16.57,+00:22:49.6
00:48:58.08,-00:15:34.6
00:54:26.80,+00:14:38.8
01:56:24.81,-00:14:58.7
01:57:25.40,-00:51:14.6
01:57:59.67,-00:42:38.6
01:58:21.09,+00:27:52.7
01:59:07.42,-00:00:28.1
01:59:10.14,+01:01:26.5
01:59:33.91,+00:22:30.6
02:02:21.07,-00:30:40.4
02:07:09.82,+01:00:00.0
02:08:15.52,+00:24:20.6
02:08:19.54,+00:52:57.8
02:09:30.43,+00:24:00.3
02:10:50.30,+00:09:36.3
02:16:26.11,-00:13:01.0
02:18:13.61,+00:13:26.3
02:18:22.69,+00:25:38.8
02:18:32.57,+00:51:49.2
02:20:24.54,+00:20:00.0
22:06:27.64,+00:33:32.0
22:08:45.96,+00:37:43.5
22:10:00.83,+00:11:47.2
22:10:36.79,-00:57:17.2
22:12:25.31,-00:19:07.9
22:12:54.72,-00:49:52.2
22:12:55.27,+00:01:08.2
22:14:33.20,-00:33:55.9
22:14:38.06,+00:49:09.2
22:18:05.21,-00:32:07.0
22:18:33.98,-00:31:41.9
22:19:28.51,+00:57:19.3
22:19:31.16,+00:26:29.8
22:20:13.89,+00:11:48.0
22:24:09.44,-00:15:23.9
22:26:26.09,-00:13:27.8
22:29:27.38,+00:19:56.0
22:32:29.33,+00:52:16.1
22:38:54.51,-00:46:48.6
22:42:39.82,-00:38:47.7
22:44:24.48,+00:38:14.0
22:44:42.43,+00:13:55.8
22:46:26.06,+00:48:08.5
22:48:06.28,+00:33:11.1
22:50:18.05,-00:12:12.5
22:50:48.71,-00:28:18.2
22:53:00.94,+00:06:13.2
22:55:30.02,-00:39:06.6
23:00:57.18,+00:03:07.5
23:01:59.80,+00:14:27.6
23:02:14.08,+00:12:02.5
23:07:10.93,+00:49:22.5
23:08:31.85,-00:18:43.0
23:14:16.62,+00:06:13.8
23:14:39.55,+00:38:14.1
23:15:42.01,+00:13:04.0
23:17:37.44,+00:36:09.2
23:25:33.45,+00:56:58.8
23:26:07.59,+00:17:49.1
23:39:23.31,+00:38:19.9
23:43:12.41,+00:02:16.8
23:46:42.13,+00:12:07.3
23:46:51.15,+00:50:37.0
23:54:46.84,-00:44:17.6
23:55:45.45,-00:11:21.8
23:56:46.43,-00:56:22.2
23:57:38.45,+00:45:41.5
135.89389,7.188278
136.21048,-1.756819
138.868927,4.489078
139.028152,7.183164
139.078156,0.859519
140.1465,6.364375
140.366333,2.607455
140.979324,2.598125
141.260605,5.478447
141.265381,3.909531
142.264297,8.078195
146.617599,0.287219
146.931091,3.034814
146.997818,-1.845892
147.208603,10.480772
148.154678,5.033336
148.598923,8.616344
149.655411,5.637527
151.690475,9.877616
152.490326,7.636739
155.41304,9.089814
155.723618,5.282714
157.1427,3.184261
158.257736,2.056847
159.319153,2.211878
159.472565,2.6099
166.079712,4.080811
166.38179,7.986556
168.882187,7.267437
169.438309,2.765542
171.310181,3.46542
173.806488,5.552222
174.10997,-0.894206
175.452942,13.945811
177.864624,14.740335
179.925537,12.288055
182.281265,14.883831
183.865326,7.299253
185.239243,9.721089
188.688583,1.213272
189.371475,10.624531
190.235382,11.297389
190.848892,10.395661
192.809189,7.264444
194.140533,4.046372
195.252991,0.796667
195.737259,-0.960553
199.161438,14.972492
200.579041,9.810628
201.977951,12.385754
204.334518,-0.717506
205.89946,8.911577
207.663864,13.124342
208.579239,0.198058
211.850632,12.779989
214.10434,4.015267
214.545776,8.582628
216.19635,9.299622
218.346146,8.88098
218.519241,9.591364
219.837296,11.601528
220.421127,11.148067
220.421127,11.148067
222.730988,6.504461
223.544876,4.305525
224.424973,3.610886
224.915421,6.074244
225.963364,12.196661
226.879929,10.280522
227.49202,11.410444
227.588348,4.327692
228.325729,-0.800961
228.471558,7.655308
229.335541,9.869531
229.495132,1.032419
229.98819,-2.578017
230.44574,-2.226995
231.474106,-0.764342
232.366806,8.611883
234.152176,6.422978
234.350342,-1.147317
9.2492719,-1.2257127
10.8810307,-0.2575866
10.9218858,0.8814744
21.7605385,1.236781
50.6971853,0.0572607
53.2020724,-0.1701121
130.2928895,6.0344213
141.3903182,2.2284905
142.7531842,1.8053273
146.0025017,5.8524996
151.1036927,12.4895939
155.9255898,12.2731749
156.1375505,5.6402568
166.5902246,2.3568311
168.1867229,15.5774743
173.612836,10.0202439
176.0846162,11.5835792
178.7054674,11.4516324
181.0705228,9.0399964
182.8666509,9.9242333
183.6101626,14.6452962
185.070283,11.4411685
188.171448,11.2163231
190.550508,4.6783254
191.7703505,1.1074517
192.1965253,5.5253154
192.6723006,13.3151201
193.0538099,7.2512947
194.8130727,7.496623
198.3643974,14.8940431
200.5424155,8.7091412
201.2930108,13.2112743
204.9150509,3.5194098
205.1652953,5.2388082
205.4628088,8.5868231
208.26764,2.5032832
209.9473047,10.5551396
219.8373336,11.6014969
219.8746389,8.9795452
222.039727,5.6720161
223.1554289,8.8488092
224.5429918,6.5776411
225.0559186,12.6125616
225.9881103,4.3156455
226.9421393,9.625342
230.7318531,3.0363372
233.0263081,6.2772517
233.3924799,7.58491
237.7616132,8.7336729
238.733069,7.2355707
311.6087783,0.3937948
331.443069,0.8886953
334.1405222,-0.9143571
