U_mag,G_mag,R_mag,I_mag,Z_mag,ra,dec,W1mag,W2mag,J_mag,K_mag
25.432138,22.606079,21.303591,20.656698,22.332035,270.0913076,0.0485186,15.555,16.231,16.654,15.321
23.321184,23.443138,21.906998,21.236761,21.51763,270.002643,0.10717294,16.845,16.919,,
25.703259,24.775614,21.172935,20.073059,19.395851,269.9661625,-0.10591585,15.231,14.977,,
25.808836,23.710449,21.265743,20.29405,19.752544,270.0905705,0.07073668,15.954,16.504,,
23.115023,24.487768,23.361771,21.339775,20.683489,270.0639545,0.09645818,16.555,16.808,,
24.552847,24.918955,22.503656,21.591095,21.060982,270.1123331,0.0486306,17.262,16.604,,
20.930107,23.760456,24.806286,22.659567,22.827234,270.0348237,-0.11993607,14.721,15.125,15.532,14.867
23.965548,23.576487,21.512419,20.790739,20.042414,269.9424376,0.12591494,16.108,16.17,,
24.180866,22.491447,21.054596,20.471678,19.827232,269.939863,0.13131348,15.59,15.681,,
23.123512,24.459023,22.139305,20.642458,20.062941,270.0436126,-0.13895771,14.992,15.294,,
25.316486,25.457314,21.530575,19.791252,18.861105,270.0994005,-0.10915616,15.484,15.699,,
23.104843,25.181131,21.08618,19.912794,19.378401,270.0945492,-0.11762993,15.515,15.82,,
24.226515,23.385595,21.255943,20.561359,20.370365,269.8909624,0.10657148,17.102,16.823,,
24.116203,25.152054,21.434864,19.776438,20.785486,269.9307352,0.14251747,15.594,15.85,16.474,15.486
25.572308,22.920555,21.168663,20.312387,19.536596,269.8304916,0.00437,15.976,16.626,,
18.235678,25.114353,24.802038,18.52828,16.111563,269.8368309,0.11815828,11.884,11.951,12.509,12.132
24.039295,25.114746,24.80224,18.326139,17.834185,270.0431912,0.19832811,12.737,12.84,13.681,12.87
24.324841,26.87431,22.491211,21.544697,20.576515,269.8237994,0.10357392,16.666,16.505,,
26.154993,22.860796,21.385582,20.37155,19.62167,269.9377032,0.20203905,14.215,13.999,16.511,14.952
22.530577,22.420092,21.279449,20.503246,19.738382,269.8330173,0.13934596,16.382,16.228,,
23.969069,24.363388,21.68425,20.586405,19.722443,269.8751534,0.17985322,16.049,16.691,,
22.937235,23.918983,22.650414,20.791428,20.170193,269.8656244,-0.17969268,15.677,16.396,,
24.642584,24.315123,22.971827,21.184731,20.161032,269.7711232,0.02174451,16.055,16.116,,
24.531361,25.137991,24.832056,19.798447,22.858578,270.0704759,-0.21988909,14.342,14.508,15.825,14.739
23.407856,23.678083,21.607662,20.790995,20.450926,269.8482082,0.1852047,15.462,16.305,,
26.800861,26.804792,22.852472,20.674561,20.280842,270.0293466,0.28297095,15.821,16.412,,
23.850258,24.569912,22.124117,20.949657,21.142065,270.1306142,0.25127845,16.193,16.137,,
23.691025,25.889624,21.398619,20.127655,20.254885,270.0233143,0.26354689,15.473,15.766,,
25.047537,25.291782,21.105295,20.26115,19.92091,269.9268689,-0.25229891,16.347,16.837,,
25.07379,23.980915,23.227072,21.25264,21.984917,269.7748439,0.12587961,16.348,16.239,,
25.342207,23.090202,21.229168,20.228632,19.745689,269.7433299,0.01062546,15.113,14.748,,
23.751495,23.508787,21.545073,20.43091,19.51395,270.1185083,0.2256787,14.669,14.668,,
21.596739,25.117067,24.807222,24.368662,22.831844,269.8973451,-0.23226441,15.382,16.401,16.231,15.424
24.333399,23.496799,21.176462,20.260044,19.678436,269.7302403,0.13314454,16.471,16.493,,
23.682169,25.197357,21.473585,20.457191,19.817699,269.8278836,0.18109287,15.659,15.588,,
25.127937,23.205973,22.118931,20.931789,20.225674,269.7882942,0.12950298,15.694,16.155,,
25.839252,25.477797,21.77087,21.52585,21.59479,270.1121263,-0.22062313,16.135,15.924,,
24.18359,22.726692,21.142307,19.693623,18.86174,269.9489514,0.24071998,15.752,16.23,,
23.737223,24.159159,21.003916,19.659878,18.851732,269.9486089,0.24000468,15.752,16.23,,
25.69194,24.803154,21.843842,20.63196,20.325943,269.8297061,0.16659944,16.082,16.187,,
26.13463,25.066767,21.292002,20.200598,19.271776,269.9236736,-0.20358647,15.235,15.811,,
23.363073,24.914639,21.612057,20.516411,19.991421,270.0741619,0.277547,15.181,14.991,,
26.313465,26.859011,22.150572,20.457621,19.749693,270.2389497,-0.15864331,15.379,15.631,,
26.261549,22.883844,21.036364,20.274784,20.394384,270.215786,0.18883243,16.965,16.557,,
26.315563,27.567015,26.282549,19.329985,20.621822,270.1657067,-0.23251047,15.94,15.948,,
22.878401,23.457893,21.571461,20.47121,19.722466,270.2621402,0.12424397,15.642,15.677,,
